Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
rbou.132.fits,HIP10644,HIP10644,HIP10644,Off,Off,Off,Off,2019-09-18T07:54:27.16, 2:17:03.2, 34:13:27.2,115.88501,1477440,6ad5f3b7c93dcda906d404044072c6d7
rbou.153.fits,HIP22449,HIP22449,HIP22449,Off,Off,Off,Off,2019-09-18T11:57:37.40, 4:49:50.4,  6:57:40.6,163.36357,1477440,722787fb4dcb2e5fb3f9966977c5c1fb
rbow.620.fits,HIP77760,HIP77760,HIP77760,Off,Off,Off,Off,2019-09-20T05:47:39.24,15:52:40.5, 42:27:05.4,112.60314,1477440,f02bae2aa02b1edff7e1c126c3259540
rbow.621.fits,HIP77760,HIP77760,HIP77760,Off,Off,Off,Off,2019-09-20T05:49:05.67,15:52:40.5, 42:27:05.4,113.92219,1477440,05a3558171184e26bdbc4ac06809b4de
rbow.624.fits,HIP114971,HIP114971,HIP114971,Off,Off,Off,Off,2019-09-20T05:54:04.79,23:17:09.9,  3:16:56.2,160.51392,1477440,f1ed963a67493af7fc51994bb5e2d2b8
rbow.625.fits,HIP114971,HIP114971,HIP114971,Off,Off,Off,Off,2019-09-20T05:55:11.37,23:17:09.9,  3:16:56.2,160.90425,1477440,9c72539188813f48dd14a352de2e7e14
rbow.626.fits,HIP114971,HIP114971,HIP114971,Off,Off,Off,Off,2019-09-20T05:56:18.44,23:17:09.9,  3:16:56.2,163.33305,1477440,1ad16a306a8eb0064cfbb9bfd5dc7b99
rbow.628.fits,HIP114971,HIP114971,HIP114971,Off,Off,Off,Off,2019-09-20T05:58:29.75,23:17:09.9,  3:16:56.2,168.8123,1477440,a66489694910b6c87771aebaa492a554
rbow.630.fits,HIP113718,HIP113718,HIP113718,Off,Off,Off,Off,2019-09-20T06:09:58.35,23:01:51.5, -3:50:55.4,100.32817,1477440,5c879da59bf9a5200476c5c301537f67
rbow.631.fits,HIP113718,HIP113718,HIP113718,Off,Off,Off,Off,2019-09-20T06:15:42.46,23:01:51.5, -3:50:55.4,97.07683,1477440,5c785aafaa210a0837826fcc47e04a65
rbow.632.fits,HIP116758,HIP116758,HIP116758,Off,Off,Off,Off,2019-09-20T06:17:34.48,23:39:47.1,-14:13:19.7,105.263115,1477440,1406c50a0acddb1ab3b8bddd5e67adc8
rbow.633.fits,HIP116758,HIP116758,HIP116758,Off,Off,Off,Off,2019-09-20T06:19:10.99,23:39:47.1,-14:13:19.7,97.42946,1477440,bbdee5e973d2d8d53f562c69b4c99300
rbow.634.fits,HIP116758,HIP116758,HIP116758,Off,Off,Off,Off,2019-09-20T06:20:46.12,23:39:47.1,-14:13:19.7,105.21329,1477440,5e7489be3f60fefdcb16213cc2160a4d
rbow.636.fits,HIP117473,HIP117473,HIP117473,Off,Off,Off,Off,2019-09-20T06:32:23.23,23:49:12.5,  2:24:04.4,44.55083,1477440,09986e659a34aebf562796ddb83067d5
rbow.637.fits,HIP117473,HIP117473,HIP117473,Off,Off,Off,Off,2019-09-20T06:38:07.43,23:49:12.5,  2:24:04.4,44.656013,1477440,591a6f574d2b544bd473e7f83724acd3
rbow.642.fits,HIP115738,HIP115738,HIP115738,Off,Off,Off,Off,2019-09-20T07:11:47.59,23:26:56.0,  1:15:20.2,109.49193,1477440,add8037cb676aecc3f957f8ef3056f54
rbow.643.fits,HIP115738,HIP115738,HIP115738,Off,Off,Off,Off,2019-09-20T07:13:19.83,23:26:56.0,  1:15:20.2,114.594635,1477440,98b86f194d89b91f80a223933e54ce51
