,wl,count
290,5324.12,4
291,5889.1,4
292,5060.64,4
293,5049.62,4
294,5084.84,4
295,5462.74,4
296,5168.44,4
297,5168.5,4
298,5168.54,4
299,5139.58,4
300,5138.98,4
301,5142.86,4
302,5006.62,4
303,5382.4,4
304,5006.42,4
305,5018.08,4
306,5018.58,4
307,5588.8,4
308,5080.68,4
309,5045.94,4
310,5036.84,4
311,5380.26,4
312,5035.6,4
313,5206.26,4
314,5199.84,4
315,5328.7,4
316,5017.9,4
317,5216.56,4
318,5890.12,4
319,5890.14,4
320,5153.38,4
321,5110.5,4
322,5316.26,4
323,5158.26,4
324,5370.94,4
325,5040.48,4
326,5615.9,4
327,5889.32,4
328,5043.78,4
329,5615.14,4
330,5004.38,4
331,5108.4,4
332,5588.24,4
333,5250.78,4
334,5032.22,4
335,5615.32,4
336,5269.7,4
337,5455.0,4
338,5186.82,4
339,5014.12,4
340,5051.5,4
341,5167.88,4
342,5191.18,4
343,5475.22,4
344,5014.3,4
345,5857.68,4
346,5763.5,4
347,5035.62,4
348,5041.3,4
349,5142.46,4
350,5143.96,4
351,5138.76,4
352,5349.46,4
353,5586.5,4
354,5301.94,4
355,5079.54,4
356,5172.32,4
357,5142.94,4
358,5100.14,4
359,5040.3,4
360,5142.72,4
361,5429.04,4
362,5079.14,4
363,5138.94,4
364,5167.14,4
365,5586.16,4
366,5586.74,4
367,5216.6,4
368,5349.06,4
369,5380.74,4
370,5641.44,4
371,5138.64,4
372,5894.46,4
373,5890.66,4
374,5041.1,4
375,5414.78,4
376,5041.32,4
377,5380.44,4
378,5173.04,4
379,5035.48,4
380,5153.92,4
381,5889.38,4
382,5041.02,4
383,5380.46,4
384,5587.14,4
385,5397.14,4
386,5051.52,4
387,5064.84,4
388,5005.6,4
389,5001.78,4
390,5327.7,4
391,5065.3,4
392,5040.66,4
393,5215.26,4
394,5216.66,4
395,5657.76,4
396,5168.66,4
397,5414.54,4
398,5889.12,4
399,5889.76,4
400,5269.22,4
401,5889.74,4
402,5269.54,4
403,5142.22,4
404,5206.4,4
405,5889.6,4
406,5396.88,4
407,5215.68,4
408,5208.42,4
409,5232.68,4
410,5265.44,4
411,5275.54,4
412,5275.2,4
413,5188.76,4
414,5535.32,4
415,5049.34,4
416,5080.36,4
417,5275.38,4
418,5455.34,4
419,5142.64,4
420,5226.74,4
421,5043.44,4
422,5404.34,4
423,5039.98,4
424,5191.72,4
425,5035.4,4
426,5899.42,4
427,5215.7,4
428,5006.34,4
429,5191.84,4
430,5029.72,4
431,5856.3,4
432,5167.38,4
433,5217.1,4
434,5035.52,4
435,5226.88,4
436,5143.0,4
437,5594.66,4
438,5447.2,4
439,5455.26,4
440,5316.24,4
441,5452.66,4
442,5039.8,4
443,5232.62,4
444,5476.2,4
445,5462.78,4
446,5462.72,4
447,5423.92,4
448,5168.8,4
449,5455.66,4
450,5147.3,4
451,5316.92,4
452,5142.28,4
453,5328.44,4
454,5141.46,4
455,5429.72,4
456,5712.08,4
457,5429.76,4
458,5477.1,4
459,5446.16,4
460,5446.5,4
461,5283.52,4
462,5018.3,4
463,5476.8,4
464,5889.4,4
465,5041.9,4
466,5446.14,4
467,5316.4,4
468,5316.46,4
469,5658.28,4
470,5658.14,4
471,5403.68,4
472,5316.62,4
473,5283.36,4
474,5615.58,4
475,5476.84,4
476,5234.82,4
477,5397.22,4
478,5615.44,4
479,5328.12,4
480,5316.54,4
481,5477.12,4
482,5275.4,4
483,5042.14,4
484,5064.88,4
485,5269.64,4
486,5215.0,4
487,5208.6,4
488,5216.38,4
489,5208.54,4
490,5100.7,4
491,5172.28,4
492,5141.08,4
493,5208.52,4
494,5455.06,4
495,5188.5,4
496,5183.52,4
497,5208.5,4
498,5183.76,4
499,5264.72,4
500,5206.1,4
501,5283.6,4
502,5148.22,4
503,5142.88,4
504,5454.84,4
505,5269.68,4
506,5183.32,4
507,5429.16,4
508,5262.66,4
509,5708.68,4
510,5137.32,4
511,5141.94,4
512,5232.84,4
513,5201.88,4
514,5188.46,4
515,5035.06,4
516,5731.12,4
517,5188.58,4
518,5205.68,4
519,5461.18,4
520,5147.64,4
521,5297.12,4
522,5205.78,4
523,5142.54,4
524,5433.86,3
525,5405.06,3
526,5583.54,3
527,5396.58,3
528,5264.52,3
529,5214.96,3
530,5433.88,3
531,5445.76,3
532,5227.04,3
533,5225.32,3
534,5463.1,3
535,5326.96,3
536,5405.18,3
537,5890.02,3
538,5396.32,3
539,5212.76,3
540,5404.6,3
541,5404.52,3
542,5598.3,3
543,5405.54,3
544,5587.68,3
545,5409.9,3
546,5184.08,3
547,5410.14,3
548,5382.64,3
549,5587.54,3
550,5349.58,3
551,5215.28,3
552,5037.58,3
553,5396.56,3
554,5588.7,3
555,5035.18,3
556,5250.54,3
557,5602.34,3
558,5027.22,3
559,5316.08,3
560,5001.94,3
561,5397.32,3
562,5012.06,3
563,5380.38,3
564,5158.92,3
565,5263.7,3
566,5297.34,3
567,5269.26,3
568,5148.28,3
569,5632.24,3
570,5226.58,3
571,5589.0,3
572,5589.02,3
573,5405.4,3
574,5888.74,3
575,5269.86,3
576,5315.98,3
577,5018.32,3
578,5099.36,3
579,5588.84,3
580,5429.06,3
581,5405.7,3
582,5035.58,3
583,5602.12,3
584,5430.02,3
585,5588.3,3
586,5027.12,3
587,5405.32,3
588,5598.16,3
589,5587.78,3
590,5589.2,3
591,5000.32,3
592,5030.8,3
593,5415.04,3
594,5188.56,3
595,5058.18,3
596,5403.94,3
597,5463.36,3
598,5380.8,3
599,5168.14,3
600,5006.32,3
601,5098.24,3
602,5011.94,3
603,5476.94,3
604,5423.96,3
605,5894.96,3
606,5397.06,3
607,5893.76,3
608,5890.86,3
609,5191.88,3
610,5889.7,3
611,5454.32,3
612,5573.34,3
613,5195.48,3
