name,HIP_name,Simbad_resolvable_name,filenames,SNR,iodine_flag,failure_code,failure_message,iso_fail_flag,warnings,Teff_bounds_flag,R_bounds_flag,Teff,u_Teff,Teff_detrended,u_Teff_detrended,iso_Teff,iso_up_Teff,iso_um_Teff,radius,u_radius,radius_detrended,u_radius_detrended,iso_radius,iso_up_radius,iso_um_radius,feh,u_feh,feh_detrended,u_feh_detrended,iso_feh,iso_up_feh,iso_um_feh,logg,u_logg,logg_detrended,u_logg_detrended,iso_logg,iso_up_logg,iso_um_logg,mass,u_mass,mass_detrended,u_mass_detrended,iso_mass,iso_up_mass,iso_um_mass,age,u_age,age_detrended,u_age_detrended,iso_age,iso_up_age,iso_um_age,best_mean_chi_squared,timestamp
HIP112748,HIP112748,HIP112748,"['rbon.871.fits', 'rbon.867.fits', 'rbon.869.fits', 'rbon.870.fits', 'rbon.872.fits', 'rbon.868.fits']",404.1122347098483,0,0,No failure,False,[],0,0,4933.471,125.8,4942.429,125.8,4937.941,45.384,52.941,6.459,0.34,6.459,0.34,9.58,0.622,0.56,0.129,0.09,0.091,0.09,0.097,0.073,0.096,3.022,0.09,3.022,0.09,2.832,0.035,0.044,1.384,0.6,1.384,0.6,2.308,0.147,0.164,9.59,0.23,9.588,0.23,0.747,0.204,0.136,3.6,05Nov2021-02:54:05
HIP112774,HIP112774,HIP112774,"['rbgz.206.fits', 'rbgz.207.fits', 'rbgz.210.fits', 'rbgz.211.fits', 'rbgz.212.fits', 'rbgz.205.fits']",94.22479088998668,0,0,No failure,False,[],0,3,3815.117,71.5,3824.075,71.5,3926.147,42.708,46.733,0.554,0.07,0.554,0.07,0.535,0.013,0.013,-0.114,0.09,-0.109,0.09,-0.039,0.075,0.083,4.719,0.09,4.719,0.09,4.705,0.011,0.011,0.572,0.6,0.572,0.6,0.533,0.012,0.012,9.77,0.23,9.769,0.23,12.295,5.24,6.966,4.55,05Nov2021-03:10:40
HIP112870,HIP112870,HIP112870,"['rboc.733.fits', 'rboc.736.fits', 'rboc.737.fits', 'rboc.738.fits', 'rboc.734.fits']",171.121428269199,0,0,No failure,False,[],0,0,4997.471,125.8,5006.43,125.8,5114.279,90.32,82.78,0.697,0.07,0.697,0.07,0.706,0.026,0.023,-0.42,0.09,-0.361,0.09,-0.392,0.085,0.084,4.537,0.09,4.537,0.09,4.598,0.03,0.036,0.708,0.6,0.708,0.6,0.726,0.031,0.032,9.97,0.23,9.967,0.23,6.878,6.527,4.698,3.5,05Nov2021-03:27:50
HIP112909,HIP112909,HIP112909,"['rbxp.702.fits', 'rbxp.703.fits', 'rbxp.701.fits']",43.18791037335555,0,0,No failure,False,[],0,3,3407.501,71.5,3416.459,71.5,3590.506,41.897,39.047,0.426,0.07,0.426,0.07,0.434,0.01,0.01,0.038,0.09,0.016,0.09,0.162,0.066,0.061,4.789,0.09,4.789,0.09,4.786,0.009,0.009,0.406,0.6,0.406,0.6,0.422,0.01,0.011,9.74,0.23,9.741,0.23,12.099,5.33,6.757,15.87,05Nov2021-03:43:55
HIP112915,HIP112915,HIP112915,"['ratu.230.fits', 'ratu.231.fits', 'ratu.232.fits']",172.49868234324646,0,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],0,3,4728.41,125.8,4737.369,125.8,4822.106,84.218,77.556,0.74,0.07,0.74,0.07,0.686,0.021,0.02,-0.035,0.09,-0.044,0.09,-0.161,0.079,0.08,4.525,0.09,4.525,0.09,4.628,0.017,0.022,0.754,0.6,0.754,0.6,0.73,0.027,0.026,9.9,0.23,9.897,0.23,2.591,4.405,1.946,4.18,05Nov2021-04:00:03
HIP112918,HIP112918,HIP112918,"['rboc.731.fits', 'rboc.729.fits', 'rboc.730.fits']",71.00318966000422,0,0,No failure,False,[],0,0,4283.182,71.5,4292.141,71.5,4387.481,55.622,53.803,0.693,0.07,0.693,0.07,0.651,0.02,0.02,-0.006,0.09,-0.02,0.09,-0.03,0.089,0.084,4.656,0.09,4.656,0.09,4.634,0.021,0.025,0.685,0.6,0.685,0.6,0.669,0.023,0.022,9.58,0.23,9.577,0.23,7.132,7.114,5.026,4.58,05Nov2021-04:13:33
HIP112935,HIP112935,HIP112935,"['rbcj.205.fits', 'rbcj.206.fits', 'rbcj.204.fits']",279.9037728761664,0,0,No failure,False,[],0,0,6116.867,125.8,6125.826,125.8,6241.201,106.798,134.001,1.384,0.34,1.307,0.34,1.916,0.058,0.053,-0.207,0.09,-0.185,0.09,-0.139,0.112,0.091,4.208,0.09,4.208,0.09,3.977,0.032,0.045,1.09,0.6,1.09,0.6,1.284,0.06,0.092,9.67,0.23,9.666,0.23,3.167,1.154,0.551,1.87,05Nov2021-04:29:45
HIP113357,HIP113357,HIP113357,"['rboc.727.fits', 'rboc.728.fits', 'rboc.726.fits']",243.13075989321052,0,0,No failure,False,[],0,0,5689.805,125.8,5698.764,125.8,5665.059,116.783,115.896,1.288,0.34,1.237,0.34,1.199,0.031,0.033,0.172,0.09,0.126,0.09,0.107,0.103,0.074,4.223,0.09,4.223,0.09,4.278,0.035,0.036,1.028,0.6,1.028,0.6,1.001,0.054,0.052,9.93,0.23,9.925,0.23,8.523,2.815,2.499,1.5,05Nov2021-04:45:51
HIP113409,HIP113409,HIP113409,"['rbgx.234.fits', 'rbgx.235.fits', 'rbgx.236.fits']",71.17946112492814,0,0,No failure,False,[],0,0,4228.287,71.5,4237.246,71.5,4280.845,59.239,57.242,0.653,0.07,0.653,0.07,0.596,0.019,0.018,-0.194,0.09,-0.175,0.09,-0.177,0.072,0.073,4.67,0.09,4.67,0.09,4.67,0.02,0.021,0.642,0.6,0.642,0.6,0.61,0.021,0.018,9.62,0.23,9.617,0.23,9.396,6.727,6.307,4.78,05Nov2021-05:00:59
HIP113421,HIP113421,HIP113421,"['rbon.907.fits', 'rbon.908.fits', 'rbon.909.fits']",,1,1,__main__.Iodine_Exception: At least one target spectrum file contains iodine.,,[],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05Nov2021-05:01:09
HIP113718,HIP113718,HIP113718,"['rbgy.238.fits', 'rbgy.237.fits', 'rbgy.236.fits']",238.77154271264197,0,0,No failure,False,[],0,0,4956.547,125.8,4965.505,125.8,5026.188,99.838,97.186,0.79,0.07,0.79,0.07,0.788,0.03,0.026,0.148,0.09,0.106,0.09,0.079,0.092,0.087,4.51,0.09,4.51,0.09,4.564,0.025,0.037,0.819,0.6,0.819,0.6,0.832,0.032,0.034,9.9,0.23,9.899,0.23,4.213,5.256,2.969,2.65,05Nov2021-05:15:23
HIP113829,HIP113829,HIP113829,"['rbhb.216.fits', 'rbhb.217.fits', 'rbhb.215.fits']",219.65210196680908,0,0,No failure,False,[],0,0,5828.673,125.8,5837.632,125.8,5885.301,97.121,100.452,1.102,0.34,1.093,0.34,1.022,0.018,0.018,0.032,0.09,0.011,0.09,0.007,0.083,0.088,4.373,0.09,4.373,0.09,4.431,0.023,0.028,1.036,0.6,1.036,0.6,1.032,0.043,0.048,9.58,0.23,9.579,0.23,2.677,2.205,1.599,1.51,05Nov2021-05:31:34
HIP113944,HIP113944,HIP113944,"['rbpo.399.fits', 'rbpo.400.fits', 'rbpo.401.fits']",59.89509210365628,0,0,No failure,False,[],0,0,4003.194,71.5,4012.153,71.5,4097.178,64.999,58.169,0.672,0.07,0.672,0.07,0.638,0.016,0.017,0.125,0.09,0.087,0.09,0.128,0.085,0.079,4.67,0.09,4.67,0.09,4.618,0.017,0.014,0.663,0.6,0.663,0.6,0.622,0.013,0.013,9.7,0.23,9.696,0.23,11.866,5.478,6.974,6.01,05Nov2021-05:46:28
HIP113963,HIP113963,HIP113963,"['rbpi.417.fits', 'rbpi.418.fits', 'rbpi.419.fits', 'rbpi.422.fits', 'rbpi.420.fits', 'rbpi.421.fits', 'rbpi.416.fits']",478.2136478277779,0,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],0,0,6691.946,125.8,6700.904,125.8,6722.168,122.411,119.41,1.72,0.34,1.529,0.34,2.035,0.204,0.185,-0.211,0.09,-0.189,0.09,-0.176,0.088,0.077,4.098,0.09,4.098,0.09,3.963,0.068,0.064,1.343,0.6,1.343,0.6,1.432,0.083,0.075,9.39,0.23,9.388,0.23,1.867,0.316,0.254,6.37,05Nov2021-06:02:59
