source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
114207651462714880,41.06874874637153,0.05320892726055857,25.521801507426662,0.04597098750255481,130.18703621101807,0.06050285807943692,9.460459,2.5041056,,,"NOT_AVAILABLE",3775.51,0.1053,,,"HIP12781",41.064622574499,25.5233658414412,130.187,864.812,-363.343,30.576,2000.0,2.852593526537689E-7
21859669845327488,41.236790777908254,0.37476516415314937,10.113967391575606,0.25948066299467276,37.729773595914246,0.35166458982259396,4.1116824,0.42416358,,,"NOT_AVAILABLE",6906.0,,2.3825865,11.633177,"HIP12828",41.23558742625001,10.114141364722222,38.8,282.7,-32.53,30.4,2000.0,4.697630321031487E-5
25792554218535296,41.24046108482011,0.29081803821709723,12.44538459168579,0.22500483269904462,25.800656134179643,0.3048325222302375,5.093982,0.3372941,,,"NOT_AVAILABLE",7510.25,0.5812,1.8914338,10.25403,"HIP12832",41.2399259419968,12.445755657282,25.8007,121.37,-86.183,-1.5,2000.0,2.5217450066951225E-9
5129338021224785408,41.277275093836316,0.5639535633427283,-18.572415362751233,0.4309578739894019,70.74487482149735,0.45150935051974883,4.2937555,0.6383712,27.585108033504664,1.3599761250929048,"NOT_AVAILABLE",6309.0,0.2035,1.3999828,2.7975783,"HIP12843",41.275847669024,-18.5726329527701,70.7449,314.265,50.538,25.9,2000.0,4.119202898146826E-8
114832620743735808,42.03948089107435,0.03892964669310558,27.068128419856958,0.028706996542467424,43.41083796315046,0.039234863964661595,7.366996,1.0085354,10.20874297269906,0.20601851388192666,"NOT_AVAILABLE",5330.0,0.0727,0.80037725,0.46579307,"HIP13081",42.0381272100208,27.0686414145167,43.4108,279.962,-119.148,9.11,2000.0,2.3698425538931586E-8
5160075762132996992,43.13562162144204,0.03889714333433532,-12.770528317942771,0.03449868446677469,96.5400410053223,0.04350637962097797,5.797017,1.0294356,17.91143020380622,0.13585214980229715,"NOT_AVAILABLE",5178.0,0.1075,0.7948403,0.4091689,"HIP13402",43.1338674390401,-12.7697140692952,96.54,397.346,-189.114,17.92,2000.0,5.4633752563986226E-8
34959010860594176,43.823439739152086,0.05569613194116196,16.308989670523975,0.053222630109079995,37.224920600037166,0.07218431307154251,7.2102356,0.9048343,-1.2034303683313183,0.16997629874857978,"NOT_AVAILABLE",5608.0,0.118,0.89278185,0.7102601,"HIP13601",43.8225231633077,16.309190312309,37.2249,204.316,-46.601,-1.291,2000.0,3.586496759686536E-9
116037204451525376,43.9140247573746,0.039864282829439115,26.872382875981287,0.031022358621157063,44.36763020484365,0.04500378603587387,7.3320932,1.0742517,32.163878249395985,0.13729680380113501,"NOT_AVAILABLE",5058.5,0.2025,0.9035342,0.4815827,"HIP13642",43.91274425536564,26.873210719140697,42.57,264.78,-193.91,32.2,2000.0,7.378959405043609E-6
466417441010173568,43.98848290489483,0.07554995571122551,61.521271105105725,0.05338001835589864,37.43176491133034,0.07874476666803247,5.4440603,0.60446024,29.323392632586078,0.1485374125734099,"NOT_AVAILABLE",6435.0,0.259,1.4963448,3.4590137,"HIP13665",43.9871697888001,61.5211381046903,37.4318,145.426,30.889,28.917,2000.0,1.645917489388631E-8
108421608959951488,44.5228321216185,0.07424828659282609,20.6685978498407,0.06164039198714835,30.623708802330004,0.09063867333977214,5.6795416,0.5592871,28.130756424724485,0.40356058238303993,"NOT_AVAILABLE",6649.3335,0.448,1.536534,4.1580667,"HIP13834",44.5217554919028,20.6687325843237,30.6237,233.962,-31.294,27.043,2000.0,1.3147885869459365E-8
